z U
0.000000000000000000e+00 1.940400999999999931e-02
5.060317999999999650e+00 1.940400999999999931e-02
1.022359999999999935e+01 5.442169000000000034e-01
1.554029000000000060e+01 8.109305999999999459e-01
2.105959000000000003e+01 1.039930000000000021e+00
2.682909000000000077e+01 1.241163999999999934e+00
3.289435000000000286e+01 1.422793999999999892e+00
3.929854999999999876e+01 1.585155000000000092e+00
4.608214999999999861e+01 1.728995000000000060e+00
5.328253000000000128e+01 1.855445000000000011e+00
6.093375000000000341e+01 1.965076999999999963e+00
6.906622000000000128e+01 2.059515000000000207e+00
7.770646999999999593e+01 2.141032000000000046e+00
8.687697000000000003e+01 2.211206999999999923e+00
9.659587000000000501e+01 2.271030000000000104e+00
1.068769999999999953e+02 2.321514000000000078e+00
1.177295000000000016e+02 2.363963000000000036e+00
1.291579999999999870e+02 2.398807999999999829e+00
1.411627000000000010e+02 2.425933000000000117e+00
1.537386999999999944e+02 2.445771999999999835e+00
1.668770000000000095e+02 2.460669999999999913e+00
1.805636000000000081e+02 2.472220999999999780e+00
1.947804999999999893e+02 2.481155000000000221e+00
2.095052000000000021e+02 2.487706000000000195e+00
2.247110999999999876e+02 2.492688999999999933e+00
2.403678999999999917e+02 2.497967000000000048e+00
2.564413999999999874e+02 2.503668999999999922e+00
2.728944000000000187e+02 2.510836999999999986e+00
2.896861999999999853e+02 2.518982999999999972e+00
3.067739000000000260e+02 2.525263999999999953e+00
3.241116999999999848e+02 2.527611999999999970e+00
3.416521999999999935e+02 2.526809999999999778e+00
3.593460000000000036e+02 2.524802000000000213e+00
3.771428999999999974e+02 2.519366000000000216e+00
3.949913999999999987e+02 2.509784999999999933e+00
4.128399000000000001e+02 2.500141000000000169e+00
4.306367000000000189e+02 2.493402999999999814e+00
4.483306000000000040e+02 2.489599000000000117e+00
4.658709999999999809e+02 2.486260999999999832e+00
4.832089000000000283e+02 2.482473999999999847e+00
5.002964999999999804e+02 2.478479000000000099e+00
5.170883999999999787e+02 2.473860999999999866e+00
