z BFRES BFSGS
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.060261077844310805e-03 1.020001999999999977e-07 1.253393000000000080e-05
1.224383233532934032e-02 1.461059000000000007e-06 1.978225000000000122e-04
1.861112574850299489e-02 4.493595000000000130e-06 2.617709999999999980e-04
2.522106586826347238e-02 6.963786000000000177e-06 1.256602000000000001e-04
3.213064670658682953e-02 8.654597999999999634e-06 3.543629999999999816e-05
3.939443113772455457e-02 1.281879999999999999e-05 1.985457999999999990e-05
4.706413173652694570e-02 1.812841999999999880e-05 1.838384000000000117e-05
5.518820359281437216e-02 2.381317999999999957e-05 1.759977999999999906e-05
6.381141317365270071e-02 2.978240999999999866e-05 1.647259000000000147e-05
7.297455089820359397e-02 3.616428000000000063e-05 1.498717000000000071e-05
8.271403592814371986e-02 4.301995000000000135e-05 1.292684999999999974e-05
9.306164071856286302e-02 5.003411000000000333e-05 1.054179000000000059e-05
1.040442754491018029e-01 5.677210999999999879e-05 8.090330999999999231e-06
1.156836766467065902e-01 6.294814000000000409e-05 6.147830999999999618e-06
1.279964071856287411e-01 6.864076000000000584e-05 4.617437999999999819e-06
1.409934131736526874e-01 7.419535000000000106e-05 3.988862000000000265e-06
1.546802395209580794e-01 8.001250000000000007e-05 3.958567999999999637e-06
1.690571257485029844e-01 8.649375999999999907e-05 4.108243000000000029e-06
1.841182035928143612e-01 9.467334000000000318e-05 4.968452999999999710e-06
1.998526946107784530e-01 1.067447000000000014e-04 5.488442999999999961e-06
2.162438323353293446e-01 1.229848000000000020e-04 4.487701999999999880e-06
2.332700598802395220e-01 1.403927000000000018e-04 3.735990000000000038e-06
2.509044311377245373e-01 1.570391999999999990e-04 3.287535000000000195e-06
2.691150898203592545e-01 1.720488000000000052e-04 3.531906000000000180e-06
2.878657485029940122e-01 1.868739999999999865e-04 4.487013000000000131e-06
3.071154491017963895e-01 2.019475999999999975e-04 4.770888000000000018e-06
3.268196407185628982e-01 2.160944999999999891e-04 3.319151000000000046e-06
3.469295808383233148e-01 2.275609000000000052e-04 1.240418000000000090e-06
3.673938922155688958e-01 2.355369000000000115e-04 1.869816999999999967e-07
3.881577245508981977e-01 2.415289000000000043e-04 4.875904000000000090e-07
4.091643113772455154e-01 2.474679999999999827e-04 2.500780000000000136e-06
4.303544910179640803e-01 2.572208999999999889e-04 3.846995999999999649e-06
4.516681437125748544e-01 2.714066999999999912e-04 3.803933999999999789e-06
4.730435928143712498e-01 2.856711000000000168e-04 3.122655999999999821e-06
4.944190419161676453e-01 2.990984000000000025e-04 2.768579000000000111e-06
5.157325748502994411e-01 3.125415000000000094e-04 2.279382000000000075e-06
5.369228742514969843e-01 3.253703000000000042e-04 1.932841000000000016e-06
5.579293413173652683e-01 3.372533000000000258e-04 3.015533000000000034e-06
5.786932934131736594e-01 3.503245999999999899e-04 4.673553000000000212e-06
5.991574850299401511e-01 3.648484000000000015e-04 4.090606000000000015e-06
6.192675449101796570e-01 3.781661999999999979e-04 2.594177999999999898e-06
6.389716167664670765e-01 3.888766000000000098e-04 1.939789000000000006e-07
6.582214371257485430e-01 3.816215999999999988e-04 -2.613666999999999789e-06
6.769719760479042669e-01 4.703679999999999797e-04 -3.580894999999999958e-06
6.951827544910180734e-01 6.131259999999999705e-04 2.046072000000000112e-07
7.128170059880238885e-01 6.880852999999999492e-04 7.232898000000000185e-06
7.298432335329341214e-01 7.422438000000000169e-04 1.244328999999999924e-05
7.462344910179641300e-01 7.889426999999999638e-04 1.531147999999999930e-05
7.619688622754491325e-01 8.276970999999999938e-04 1.769410000000000056e-05
7.770300598802395431e-01 8.612322000000000380e-04 2.177958999999999996e-05
7.914068263473054143e-01 8.912972999999999816e-04 2.906850999999999860e-05
8.050937724550897290e-01 9.193273000000000503e-04 3.360231000000000253e-05
8.180907784431138419e-01 9.437220000000000287e-04 3.569781999999999697e-05
8.304034730538921716e-01 9.628227999999999526e-04 3.768959999999999910e-05
8.420428742514970422e-01 9.761035999999999628e-04 3.873367999999999673e-05
8.530255089820358849e-01 9.849507999999999007e-04 4.088149999999999814e-05
8.633730538922156361e-01 9.907722999999998923e-04 4.523753999999999785e-05
8.731125748502993611e-01 9.943765999999999283e-04 5.183187999999999950e-05
8.822756886227545170e-01 9.966700000000000646e-04 5.779659000000000088e-05
8.908989221556886662e-01 9.972648999999999663e-04 6.121474999999999866e-05
8.990229940119760510e-01 9.957966999999999860e-04 6.591336000000000211e-05
9.066926946107783936e-01 9.921852000000000969e-04 7.328065999999999508e-05
9.139564071856287608e-01 9.861982000000000474e-04 8.359338999999999756e-05
9.208659880239520312e-01 9.778969000000001070e-04 9.516456999999999813e-05
9.274760479041915806e-01 9.665907000000000492e-04 1.083837000000000038e-04
9.338432335329340805e-01 9.515999000000000029e-04 1.224789999999999907e-04
9.400268263473053887e-01 9.317144999999999984e-04 1.390549999999999892e-04
9.460870658682635215e-01 9.056503999999999509e-04 1.598385999999999980e-04
9.520855089820359218e-01 8.719469000000000525e-04 1.880157000000000030e-04
9.580735329341317774e-01 8.280838999999999474e-04 2.234276999999999954e-04
9.640615568862275220e-01 7.717184999999999670e-04 2.703450999999999944e-04
9.700495808383233776e-01 6.979584999999999956e-04 3.289793999999999965e-04
9.760376047904191221e-01 6.032480000000000221e-04 4.074780000000000177e-04
9.820256287425149777e-01 4.819917999999999750e-04 4.988994000000000501e-04
9.880136526946107223e-01 3.346856000000000267e-04 5.532408000000000377e-04
9.940016766467065779e-01 1.604898999999999963e-04 5.108619999999999481e-04
9.999897005988024334e-01 8.635656999999999624e-07 2.269944000000000031e-04
1.005977724550898289e+00 -9.639446000000000407e-05 -2.352172999999999883e-04
1.011965748502994034e+00 -1.585771000000000034e-04 -2.730985999999999809e-04
1.017953772455089778e+00 -2.436418000000000091e-04 -8.444767999999999849e-04
1.023941796407185523e+00 -1.887369000000000123e-04 -6.174624999999999992e-04
1.029929820359281489e+00 -9.112229000000000606e-05 -2.734886999999999757e-04
1.035917844311377234e+00 -3.730742999999999663e-05 -1.828943999999999882e-04
1.041905868263472978e+00 -1.465451999999999975e-05 -1.008995999999999987e-04
1.047893892215568945e+00 -6.247229000000000254e-06 -8.894890999999999876e-05
1.053881916167664690e+00 -5.204784000000000107e-06 -7.887895999999999872e-05
1.059869940119760434e+00 -5.006970000000000107e-06 -7.237990000000000135e-05
1.065857964071856179e+00 -4.950772000000000175e-06 -5.448889999999999935e-05
1.071845988023952145e+00 -4.898053000000000350e-06 -4.245494000000000183e-05
1.077834011976047890e+00 -4.849103999999999982e-06 -2.530902999999999983e-05
1.083822035928143634e+00 -4.699071999999999688e-06 -1.404534999999999928e-05
1.089810059880239601e+00 -4.333077999999999885e-06 -3.409123999999999922e-06
1.095798083832335346e+00 -3.517708000000000016e-06 0.000000000000000000e+00
1.101786107784431090e+00 -2.635058000000000089e-06 0.000000000000000000e+00
1.107787784431137679e+00 -2.168272999999999950e-06 0.000000000000000000e+00
1.113871377245508887e+00 -2.379705000000000198e-06 0.000000000000000000e+00
1.120119041916167735e+00 -2.990527000000000108e-06 0.000000000000000000e+00
1.126612574850299309e+00 -3.495087000000000068e-06 0.000000000000000000e+00
1.133434131736527073e+00 -3.405630000000000036e-06 0.000000000000000000e+00
1.140665508982035892e+00 -2.780446999999999910e-06 0.000000000000000000e+00
1.148388742514969918e+00 -1.999558999999999806e-06 0.000000000000000000e+00
1.156685868263473083e+00 -1.389497999999999940e-06 0.000000000000000000e+00
1.165638802395209561e+00 -1.102009000000000031e-06 0.000000000000000000e+00
1.175329580838323507e+00 -1.060637000000000023e-06 0.000000000000000000e+00
1.185840239520958184e+00 -9.926004999999999420e-07 0.000000000000000000e+00
1.197252574850299345e+00 -8.795965000000000241e-07 0.000000000000000000e+00
1.209649101796407278e+00 -8.632211999999999820e-07 0.000000000000000000e+00
1.223110179640718664e+00 -8.902048000000000120e-07 0.000000000000000000e+00
1.237719760479041975e+00 -9.578786999999999943e-07 0.000000000000000000e+00
1.253559281437125694e+00 -9.308713000000000274e-07 0.000000000000000000e+00
1.270710179640718529e+00 -7.964845999999999534e-07 0.000000000000000000e+00
1.289255089820359412e+00 -6.218528999999999580e-07 0.000000000000000000e+00
